customer,type,project,product,code,location,quantity,year
BENGAL VENTURE ,Commercial,"FBB RANCHI,KANKE RD ",LAMINATES ,"11005 , 14583 , 21066",,250 SHEETS ,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,10858,,30,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,14532,,30,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,10195,,50,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,14810,,30,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,14625,,40,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,10858,,40,2017
LAKSHMI INTERIORS,Commercial,COMMERCIAL ,FLEX ,10596,,20,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,14177 HGL ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,21127 MR AND 22091 MR ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,21162,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,22172,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,22172 AND 22115 MR ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,21075 21066 22091 CFR ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,21172 HGL ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,21114MR ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,22115 MR ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,14177 HGL ,,,2017
DECORPOT ,Residential,RESIDENTIAL ,LAM ,21023 MR AND 22091 HGL,,,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14477 MR +,,20,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14673,,15,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"14675 MR,22091",,25,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,10544,,15,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,"22115MR,22091 MR ",,30,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14478 MR,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14542,,15,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,22091 MR ,,8,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,22115,,6,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,44754,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,22091 MR ,,12,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,22105 MR ,,6,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14477 MR ,,13,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,14618MR ,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,44279,,10,2017
HOME LANE ,Residential,RESIDENTIAL ,LAM ,40756,,10,2017
